,Date,Score,Total price difference,Percentage price difference,Price increase,Price decrease
65,2008-09-11,0.0,17.00999999999999,1.380636992305444,1.0,0.0
66,2008-09-15,-0.9119174480438232,-56.34999999999991,-4.511428685801202,0.0,1.0
67,2008-09-16,-0.8562160432338715,20.899999999999864,1.75232665381067,1.0,0.0
68,2008-09-17,-0.9216809272766113,-57.20999999999981,-4.714073829927473,0.0,1.0
69,2008-09-19,0.0,98.68999999999983,8.53431800690077,1.0,0.0
70,2008-09-24,0.0,-69.21000000000004,-5.514389520986713,0.0,1.0
71,2008-09-26,0.0,27.40000000000009,2.310539941140268,1.0,0.0
72,2008-09-29,-0.9470430413881937,-106.84999999999991,-8.806778375794334,0.0,1.0
73,2008-10-01,0.0,54.63999999999987,4.938450136476191,1.0,0.0
74,2008-10-06,0.0,-104.16999999999985,-8.971973885931808,0.0,1.0
